Locatie,Time,Regiune,Nr. Inmatriculare,Caracteristica placii,Culoare placu?a,Acoperire caroserie vehicul,Tip,Culoare,Logo,Centura locului,Se apeleaza,Ornament,Imagine Panoramica,Lista de permisiuni (lista alba)/Lista cu persoanele blocate (lista neagra)
D7,29-08-2024 23:35:22,România,SV85AAC,Vehicle_20240829000000_20240829235959//0-291396-3-1-1-2493981321&E=VehicleAnalyse&I=766413.jpg,Necunoscut,Necunoscut,Camioneta,Negru,SGMW,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-291396-3-1-0-0252779&E=VehicleAnalyse&I=766413.jpg,General
D7,29-08-2024 23:31:57,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-291396-3-0-1-17481412971.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-291396-3-0-0-0187785&E=VehicleAnalyse&I=766412.jpg,General
D7,29-08-2024 23:29:27,România,SV57TAR,Vehicle_20240829000000_20240829235959//0-289913-3-3-1-2314801675&E=VehicleAnalyse&I=766411.jpg,Necunoscut,Necunoscut,Camioane grele,Negru,Sinotruck,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-3-0-0235215&E=VehicleAnalyse&I=766411.jpg,General
D7,29-08-2024 23:17:21,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-2-1-23053110783.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-2-0-0241314&E=VehicleAnalyse&I=766410.jpg,General
D7,29-08-2024 23:16:35,România,SV07TNY,Vehicle_20240829000000_20240829235959//0-289913-3-1-1-2311132313&E=VehicleAnalyse&I=766409.jpg,Necunoscut,Necunoscut,SUV,Negru,Audi,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-1-0-0235486&E=VehicleAnalyse&I=766409.jpg,General
D7,29-08-2024 23:15:13,Necunoscut,VS22CAM,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-0-1-26464029947.jpg,Camioane grele,Negru,Chenglong,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-289913-3-0-0-0294587&E=VehicleAnalyse&I=766408.jpg,General
D7,29-08-2024 23:14:18,România,SV12XOM,Vehicle_20240829000000_20240829235959//0-288764-3-7-1-2533801328&E=VehicleAnalyse&I=766407.jpg,Necunoscut,Necunoscut,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-7-0-0256768&E=VehicleAnalyse&I=766407.jpg,General
D7,29-08-2024 23:14:02,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-6-1-16533320582.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-6-0-0185915&E=VehicleAnalyse&I=766406.jpg,General
D7,29-08-2024 23:13:23,România,SV17MMW,Vehicle_20240829000000_20240829235959//0-288764-3-5-1-2592431538&E=VehicleAnalyse&I=766405.jpg,Necunoscut,Necunoscut,Sedan,Negru,Vad,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-5-0-0262841&E=VehicleAnalyse&I=766405.jpg,General
D7,29-08-2024 23:13:16,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-4-1-1422297125.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-4-0-0149354&E=VehicleAnalyse&I=766404.jpg,General
D7,29-08-2024 23:08:33,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-3-1-1469567110.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-3-0-0154066&E=VehicleAnalyse&I=766403.jpg,General
D7,29-08-2024 23:03:07,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-2-1-12294724832.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-2-0-0147779&E=VehicleAnalyse&I=766402.jpg,General
D7,29-08-2024 23:02:38,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-1-1-12878723953.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-1-0-0152740&E=VehicleAnalyse&I=766401.jpg,General
D7,29-08-2024 23:02:15,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-0-1-12656023861.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288764-3-0-0-0150421&E=VehicleAnalyse&I=766400.jpg,General
D7,29-08-2024 23:01:21,Necunoscut,SV55WSW,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-3-1-2730158951.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-3-0-0281966&E=VehicleAnalyse&I=766399.jpg,General
